Lamas_name,Lamas_code,year,3 rooms apartments,average price (NIS) 3 rooms apartments,4+ rooms apartments,average price (NIS) 4+ rooms apartments
NAZARETH,7300,2020,2,535000,,
NAZARETH,7300,2024,1,780000,,
NETANYA,7400,2017,24,1317916.667,17,1539176.471
NETANYA,7400,2018,51,1367254.902,20,1560250
NETANYA,7400,2019,11,1276363.636,1,1950000
NETANYA,7400,2020,4,1330000,,
NETANYA,7400,2021,1,1320000,1,1530000
NETANYA,7400,2022,2,1877500,12,2183250
NETANYA,7400,2023,10,1814000,35,2352885.714
NETANYA,7400,2024,1,1515000,,
AKKO,7600,2017,2,745000,,
AKKO,7600,2018,,,2,954000
AKKO,7600,2019,,,6,962000
AKKO,7600,2020,6,591000,10,833000
AKKO,7600,2021,1,620000,2,1013500
AKKO,7600,2022,5,963000,5,1204000
AKKO,7600,2023,,,1,1300000
AFULA,7700,2017,3,671666.6666,,
AFULA,7700,2018,1,710000,3,771666.6666
AFULA,7700,2019,,,1,920000
AFULA,7700,2022,,,1,900000
AFULA,7700,2023,,,1,1540000
PETAH TIQWA,7900,2017,19,1375578.947,11,1632090.909
PETAH TIQWA,7900,2018,38,1383078.947,23,1644652.174
PETAH TIQWA,7900,2019,3,1393333.333,5,1701000
PETAH TIQWA,7900,2020,2,1490000,,
PETAH TIQWA,7900,2021,2,1435000,6,1715000
PETAH TIQWA,7900,2022,2,1910000,18,2257716.667
PETAH TIQWA,7900,2023,19,1986315.789,14,2416285.714
PETAH TIQWA,7900,2024,4,2027500,2,2320000
QIRYAT ATTA,6800,2017,3,875000,1,800000
QIRYAT ATTA,6800,2018,1,770000,5,881000
QIRYAT ATTA,6800,2019,,,1,1030000
QIRYAT ATTA,6800,2022,,,1,2498708
QIRYAT ATTA,6800,2023,,,1,1800000
QIRYAT GAT,2630,2018,28,815000,11,1107727.273
QIRYAT GAT,2630,2019,2,827500,1,877000
QIRYAT GAT,2630,2023,2,1522000,5,1722000
QIRYAT GAT,2630,2024,1,1405000,,
ROSH HAAYIN,2640,2017,1,1340000,3,1431666.667
ROSH HAAYIN,2640,2018,3,1380000,3,1473333.333
ROSH HAAYIN,2640,2019,1,1300000,4,1662500
ROSH HAAYIN,2640,2022,,,1,2970000
ROSH HAAYIN,2640,2023,,,7,2507857.143
RISHON LEZIYYON,8300,2017,6,1455000,1,1580000
RISHON LEZIYYON,8300,2018,28,1422428.571,9,1638333.333
RISHON LEZIYYON,8300,2019,6,1505500,3,1681666.667
RISHON LEZIYYON,8300,2020,,,1,1950000
RISHON LEZIYYON,8300,2021,,,1,1630000
RISHON LEZIYYON,8300,2022,1,1845000,5,2100000
RISHON LEZIYYON,8300,2023,13,2189230.769,9,2397777.778
RISHON LEZIYYON,8300,2024,1,2010000,1,2543000
REHOVOT,8400,2017,6,1226666.667,2,1482000
REHOVOT,8400,2018,13,1262384.615,11,1651818.182
REHOVOT,8400,2019,1,1060000,,
REHOVOT,8400,2020,1,1430000,,
REHOVOT,8400,2022,4,2034750,7,2191428.571
REHOVOT,8400,2023,8,1760000,10,2452300
REHOVOT,8400,2024,1,1740000,1,2130000
RAMLA,8500,2017,1,940000,4,1312500
RAMLA,8500,2018,7,971000,13,1293076.923
RAMLA,8500,2019,15,1018933.333,9,1363888.889
RAMLA,8500,2020,8,1016875,,
RAMLA,8500,2022,1,1380000,4,1622500
RAMLA,8500,2023,3,1636666.667,4,2087500
RAMLA,8500,2024,2,1170000,1,2070000
RAMAT GAN,8600,2017,3,1673333.333,,
RAMAT GAN,8600,2018,3,1677000,1,1680000
RAMAT GAN,8600,2019,5,1668000,1,1950000
RAMAT GAN,8600,2020,5,1766000,2,1890000
RAMAT GAN,8600,2022,1,2290000,,
RAMAT GAN,8600,2023,5,2298000,,
RAMAT GAN,8600,2024,1,2120000,,
RA'ANNANA,8700,2017,,,1,1955000
RA'ANNANA,8700,2018,1,1890000,,
RA'ANNANA,8700,2020,1,1700000,,
RA'ANNANA,8700,2023,,,2,2570000
TEL AVIV - YAFO,5000,2017,23,1556956.522,6,1660833.333
TEL AVIV - YAFO,5000,2018,16,1577500,13,1712692.308
TEL AVIV - YAFO,5000,2019,11,1514636.364,3,1765000
TEL AVIV - YAFO,5000,2020,5,1507800,1,1870000
TEL AVIV - YAFO,5000,2021,1,1570000,,
TEL AVIV - YAFO,5000,2022,1,2645000,,
TEL AVIV - YAFO,5000,2023,16,2172100.5,5,2378384.4
TEL AVIV - YAFO,5000,2024,4,2070000,1,2500000
